Kabupaten/Kota,Tahun,Luas Wilayah,Indeks Pembangunan Manusia (IPM),Harapan Lama Sekolah (Tahun),Rata-rata Lama sekolah (Tahun),Angka Partisipasi Sekolah (APS) Usia 7-12 (Persen),Angka Partisipasi Sekolah (APS) Usia 13-15 (Persen),Angka Partisipasi Sekolah (APS) Usia 16-18 (Persen),Angka Partisipasi Sekolah (APS) Usia 19-23 (Persen),Rasio Guru per Siswa,Persentase Penduduk (Persen),Persentase Penduduk Miskin (Persen),Tingkat Pengangguran Terbuka (TPT) - Agustus,Tingkat Partisipasi Angkatan Kerja - Agustus,Pengeluaran Per Kapita Riil Disesuaikan (Ribu Rupiah),Persentase Rumah Tangga dengan Akses Air Bersih,Laju Pertumbuhan Penduduk per Tahun (persen),Kepadatan Penduduk per km persegi (km²),Gini Ratio,"Jumlah masyarakat miskin 
dan tidak mampu yang dapat
mengakses pelayanan kesehatan (orang)",Jumlah Penerima Bansos,Jumlah Penduduk (Ribu) Semester 1,Jumlah Penduduk (Ribu) Semester 2,STATUS BALITA GIZI KURANG BB,"STATUS BALITA KURUS  BB TB
","STATUS BALITA PENDEK TB U
",PRODUKSI PADI (TON),DESA KURANG BERKEMBANG,KELURAHAN KURANG BERKEMBANG,KODE KABUPATEN KOTA,DESA CEPAT BERKEMBANG,    KELURAHAN BERKEMBANG,KELURAHAN CEPAT BERKEMBANG,DESA BERKEMBANG
Pacitan,2020,1389.92,69.28,12.64,7.6,99.82,97.25,77.61,14.71,9.2,1.44,14.54,2.28,80.36,8796,84.43,0.78,422,351,237667,2059,207215,209984,1576,827,827,83940.9,0,0,3501,11,0,1,62
Ponorogo,2020,1305.7,71.57,13.73,7.54,99.61,98.93,78.66,24.69,11.09,2.33,9.95,4.45,71.51,9670,91.15,1.01,727,0.38,401646,1101,349637,352735,2727,2348,2348,377333.2,13,13,3502,11,11,2,120
Trenggalek,2020,1147.22,70.1,12.35,7.55,99.7,94.22,78.7,13.86,11.71,1.8,11.62,4.11,75.72,9630,80.64,0.78,637,379,324929,3174,272330,271604,2203,1144,1144,108445.6,0,0,3503,0,0,0,73
Tulungagung,2020,1055.65,73.15,13.31,8.33,99.58,98.47,79.72,25.06,11.84,2.68,7.33,4.61,73.17,10705,96.75,0.93,1032,336,357733,691,399249,395246,3093,2075,2075,214398.1,0,0,3504,0,0,0,0
Blitar,2020,1336.48,71.02,12.46,7.39,99.39,98.19,70.33,19.61,13.34,3.01,9.33,3.82,70.83,10654,95.35,0.89,916,348,432387,821,445959,445584,1952,1462,1462,196847.5,12,12,3505,4,16,0,44
Kediri,2020,1386.05,72.8,13.15,8.02,99.03,99.47,81.83,18.99,15.94,4.02,11.4,5.24,70.65,11000,98.89,0.84,1180,325,693747,2244,597270,587082,4067,2642,2642,215913.4,0,0,3506,13,0,0,29
Malang,2020,3530.65,71.24,13.18,7.42,99.96,97.96,62.25,33.91,16.68,6.53,10.15,5.49,71.62,10028,95.48,0.79,752,371,791731,2460,870466,866380,6829,4873,4873,274389.8,1,1,3507,17,2,0,31
Lumajang,2020,1790.9,67.04,11.81,6.4,99.06,97.85,52.7,11.96,12.87,2.75,9.83,3.36,66.92,9088,95.89,1.03,625,297,499436,1251,360573,361504,4569,2914,2914,290688.2,7,7,3508,18,0,0,98
Jember,2020,3092.34,69.01,13.42,6.48,99.73,96.95,67.12,26.68,15.14,6.24,10.09,5.12,68.04,9294,90.49,0.81,820,318,886717,963,857724,854892,20205,19039,19039,590263.4,0,0,3509,8,0,0,25
Banyuwangi,2020,5782.4,71.85,12.8,7.16,99.74,98.59,77.8,16.6,14.53,4.2,8.06,5.34,71.8,12140,91.62,0.91,295,316,63751,752,640913,632180,2878,1281,1281,470832.6,0,0,3510,0,0,0,0
Bondowoso,2020,1525.97,69.1,13.28,5.93,99.68,97.71,71.83,16.44,9.65,1.91,14.17,4.13,75.09,10610,91.75,0.51,509,329,518825,3015,300174,299900,3933,3955,3955,261018.5,0,0,3511,0,0,0,0
Situbondo,2020,1669.87,68.94,13.15,6.46,99.23,97.93,65.26,15.14,9.81,1.69,12.22,3.85,73.17,9857,96.18,0.56,411,305,349214,1565,260521,264767,3275,2373,2373,159928.2,0,0,3512,0,0,0,0
Probolinggo,2020,1696.21,68.77,12.35,6.11,99.42,94.17,60.63,15.12,11.52,2.83,18.61,4.86,72.89,10859,92.16,0.49,679,326,705347,3865,388312,386137,9347,7145,7145,192600.1,0,0,3513,0,0,0,0
Pasuruan,2020,1474.02,70.2,12.41,7.4,99.62,97.6,65.43,20.57,14.78,3.95,9.26,6.24,67.67,10164,97.21,0.58,1090,346,657785,2685,538936,539305,6181,5198,5198,272936.3,1,1,3514,5,8,1,224
Sidoarjo,2020,634.38,80.65,14.93,10.5,99.58,99.49,87.36,40.99,17.92,5.12,5.59,10.97,67.17,14458,99.06,0.68,3283,0.34,380019,2097,641200,624562,5044,5189,5189,209109.9,0,0,3515,21,2,1,50
Mojokerto,2020,717.83,74.58,12.88,8.51,99.7,98.97,81.32,14.3,14.76,2.75,10.57,5.75,69.79,12779,99.2,0.85,1559,325,387544,1101,391667,387729,3342,3496,3496,312686.4,1,1,3516,18,1,0,67
Jombang,2020,1115.09,73.63,13.27,8.54,99.61,98.97,87.19,23.57,13.85,3.24,9.94,7.48,70.23,11261,99.37,0.89,1182,334,605066,1248,465571,459003,7088,6137,6137,343163.9,2,2,3517,15,2,0,130
Nganjuk,2020,1224.25,72.78,12.86,7.64,99.62,99.4,81.19,15.21,13.25,2.71,11.62,4.8,65.75,12130,99.45,0.8,902,335,580717,4128,388973,379856,4507,3283,3283,436884.1,11,11,3518,5,7,0,116
Madiun,2020,1037.58,72.94,13.16,7.81,99.09,97,78.52,19.1,12.14,1.83,11.46,4.8,71.42,11574,97.83,1.14,717,357,28361,2475,274298,275671,3397,2728,2728,446052.4,1,1,3519,2,2,0,40
Magetan,2020,688.84,74.85,14.03,8.24,99.83,99.5,88.05,28.47,11.45,1.65,10.35,3.74,73.23,11776,99.46,0.76,974,324,243374,1011,243246,238587,706,485,485,309053.1,6,6,3520,9,4,3,54
Ngawi,2020,1295.98,71.49,12.7,7.06,99.62,99.28,77.15,16.09,11.89,2.14,15.44,5.44,72.69,11418,99.49,0.6,671,337,47611,2952,332337,325843,1942,1399,1399,837773.2,2,2,3521,19,0,0,59
Bojonegoro,2020,2198.79,70.18,12.39,7.33,99.85,96.49,80.76,14.19,12.43,3.2,12.87,4.92,74.6,10121,96.94,0.71,592,303,662428,4080,443490,441252,4401,3098,3098,728915.1,0,0,3522,0,0,0,0
Tuban,2020,1834.15,69.6,12.21,6.95,99.97,94.35,65.24,14.92,12.93,2.95,15.91,4.81,71.84,10238,97.58,0.67,653,337,52201,1996,394418,387778,6409,5257,5257,507053.9,0,0,3523,0,0,0,0
Lamongan,2020,1782.05,73.44,13.48,7.92,99.61,99.53,69.53,28.67,9.81,3.31,13.85,5.13,70.81,11456,92.18,1.28,754,296,611374,8991,405617,414850,4459,3813,3813,886061,0,0,3524,0,0,0,0
Gresik,2020,1191.25,76.59,13.73,9.3,99.66,99.47,85.48,26.55,13.69,3.22,12.4,8.21,66.53,13246,94.63,1.05,1101,299,376382,2459,391379,396034,1526,1622,1622,407716.6,8,8,3525,10,8,1,98
Bangkalan,2020,1001.44,65.17,11.6,5.95,99.48,92.37,50.47,19.01,13.95,2.61,20.56,8.77,67,8610,93.92,1.53,1059,322,492085,1467,298308,313795,2718,3109,3109,207294.9,1,1,3526,5,1,1,11
Sampang,2020,1233.08,64.75,12.37,4.85,98.51,93.54,57.61,18.28,11.21,2.38,22.78,3.35,69.93,8739,89.89,0.97,786,262,589769,3149,299846,300836,3207,2915,2915,191735.5,0,0,3527,0,0,0,0
Pamekasan,2020,792.24,68.65,13.64,6.69,98.74,97.46,73.11,20.54,9.26,2.09,14.6,3.49,69.82,8739,90.49,0.64,1073,0.32,495126,3651,272548,271493,3578,3540,3540,101827.4,0,0,3528,37,0,0,37
Sumenep,2020,1998.54,67.15,13.2,5.71,98.97,96.33,73.93,20.43,7.96,2.77,20.18,2.84,75.02,8888,97.82,0.74,563,256,580319,3123,364971,383973,1049,923,923,228980.2,0,0,3529,0,0,0,1
Kota Kediri,2020,63.4,78.78,15.26,9.93,99.6,98.89,86.72,34.26,16,0.71,7.69,6.21,66,12239,99.67,0.64,4524,346,68338,372,103261,99706,205,134,134,10283.81,36,36,3571,0,10,0,0
Kota Blitar,2020,32.57,78.88,14.32,10.11,99.79,97.22,89.79,34.01,15.54,0.37,7.78,6.68,69.53,13733,98.37,1.19,4579,344,120649,527,51558,51926,314,131,131,5274.24,21,21,3572,0,0,0,0
Kota Malang,2020,145.28,82.19,15.51,10.18,99.36,95.19,84.41,60.88,15.93,2.07,4.44,9.61,66.41,16593,99.89,0.27,5808,395,27878,1978,275982,274923,3000,1671,1671,11723.75,36,36,3573,0,20,0,0
Kota Probolinggo,2020,56.67,74.81,13.59,8.7,99.49,96.53,81.13,24.87,14.55,0.59,7.43,6.7,69.07,12180,100,0.96,4229,311,74614,539,77452,78827,991,664,664,7543.19,13,13,3574,0,16,0,0
