Kabupaten/Kota,Luas Wilayah,Indeks Pembangunan Manusia (IPM),Harapan Lama Sekolah (Tahun),Rata-rata Lama sekolah (Tahun),Angka Partisipasi Sekolah (APS) Usia 7-12 (Persen),Angka Partisipasi Sekolah (APS) Usia 13-15 (Persen),Angka Partisipasi Sekolah (APS) Usia 16-18 (Persen),Angka Partisipasi Sekolah (APS) Usia 19-23 (Persen),Rasio Guru per Siswa,Persentase Penduduk Miskin (Persen),Pengeluaran Per Kapita Riil Disesuaikan (Ribu Rupiah),Persentase Rumah Tangga dengan Akses Air Bersih,Laju Pertumbuhan Penduduk per Tahun (persen),Kepadatan Penduduk per km persegi (km²),Gini Ratio,"Jumlah masyarakat miskin 
dan tidak mampu yang dapat
mengakses pelayanan kesehatan (orang)",Jumlah Penerima Bansos,STATUS BALITA GIZI KURANG BB,"STATUS BALITA KURUS  BB TB
","STATUS BALITA PENDEK TB U
",PRODUKSI PADI (TON),Rasio_Ketenagakerjaan,Jumlah Penduduk (Ribu),Cluster
Pacitan,1389.92,70.94,12.69,7.88,99.55,96.64,84.81,10.75,9.22,13.08,9681,80.19,0.11,411.0,327.0,255,2059,16715.0,6509.0,6509.0,69650.98,44.612021857923494,217164.5,2
Ponorogo,1305.7,73.18,13.78,7.78,98.47,99.33,83.84,20.8,11.94,9.11,10658,94.42,0.38,679.0,326.0,114,1101,25770.0,14969.0,14969.0,379244.9,16.283261802575105,366252.0,0
Trenggalek,1147.22,71.96,12.63,7.9,99.38,98.85,81.14,13.52,12.07,10.5,10465,84.87,0.49,596.0,0.35,27,3174,17086.0,6993.0,6993.0,104859.4,17.858407079646017,282743.0,2
Tulungagung,1055.65,74.65,13.36,8.66,99.6,99.91,82.04,22.07,11.93,6.28,11565,97.9,0.58,973.0,321.0,494,691,28626.0,16265.0,16265.0,214820.8,13.221238938053096,415499.0,0
Blitar,1336.48,72.84,12.67,7.83,99.53,97.53,73.67,14.92,12.63,8.16,11499,96.41,0.86,724.0,353.0,44,821,36040.0,18268.0,18268.0,171154.0,14.969450101832994,464764.0,0
Kediri,1386.05,74.68,13.63,8.24,99.99,97.63,81.87,18.16,14.89,9.95,11952,92.0,0.88,1109.0,0.3,97,2244,54864.0,29609.0,29609.0,174072.2,11.872193436960275,604247.0,0
Malang,3530.65,73.0,13.49,7.75,99.61,96.92,71.45,28.29,15.89,8.98,10791,98.18,0.81,788.0,343.0,303,2460,60557.0,37722.0,37722.0,254793.7,12.396491228070175,947735.0,0
Lumajang,1790.9,69.37,12.41,7.14,97.87,98.86,64.7,16.35,13.93,8.65,9720,95.49,0.63,638.0,363.0,17,1251,29436.0,16539.0,16539.0,257120.7,18.662125340599452,384732.0,0
Jember,3092.34,70.42,13.5,6.52,98.83,95.49,74.35,26.11,14.73,9.01,10277,97.51,0.7,786.0,321.0,176,963,98309.0,69095.0,69095.0,623264.9,18.02992518703242,927600.5,0
Banyuwangi,5782.4,73.79,13.14,7.76,99.61,99.32,79.98,16.52,14.06,6.54,12820,97.44,0.72,488.0,312.0,10,752,22347.0,12069.0,12069.0,395631.4,16.64,673877.5,0
Bondowoso,1525.97,70.56,13.33,6.36,97.86,94.97,69.97,14.53,9.37,12.6,11255,94.43,0.55,510.0,333.0,34,3015,18984.0,12591.0,12591.0,259477.7,17.925301204819277,311891.5,2
Situbondo,1669.87,70.65,13.2,6.9,99.28,98.93,69.59,11.28,10.63,11.51,10702,97.45,0.57,424.0,385.0,5,1565,18223.0,15497.0,15497.0,162236.8,23.021406727828747,273265.5,2
Probolinggo,1696.21,70.36,12.64,6.29,99.56,90.74,57.03,18.43,12.03,16.45,11756,97.75,0.75,687.0,339.0,5,3865,55385.0,34854.0,34854.0,177607.4,21.444444444444443,420027.5,2
Pasuruan,1474.02,71.91,12.78,7.44,98.99,93.82,68.54,16.24,14.5,8.63,11239,97.63,0.84,1110.0,331.0,83,2685,68239.0,84128.0,84128.0,277354.5,12.994525547445253,575104.0,0
Sidoarjo,634.38,81.88,15.22,10.78,99.82,99.93,88.33,38.09,16.44,4.53,15311,97.19,1.12,2999.0,327.0,211,2097,24548.0,22939.0,22939.0,208986.7,8.648447204968944,680580.5,1
Mojokerto,717.83,76.23,12.99,9.11,99.52,99.97,85.84,15.01,14.77,9.37,13467,98.9,0.83,1172.0,337.0,903,1101,15512.0,14830.0,14830.0,285714.4,15.52676659528908,402475.5,0
Jombang,1115.09,75.16,13.61,8.77,99.74,98.37,84.42,21.3,14.3,8.6,11999,98.01,0.89,1228.0,302.0,21,1248,50647.0,37842.0,37842.0,342291.3,15.431330472103003,485049.0,0
Nganjuk,1224.25,74.7,13.18,8.24,99.24,95.31,91.1,20.43,13.24,10.17,12821,98.86,0.67,878.0,289.0,5,4128,31806.0,18845.0,18845.0,404975.1,14.292735042735044,409596.0,0
Madiun,1037.58,74.02,13.27,7.95,98.05,99.95,89.36,20.14,12.52,10.63,12259,96.39,0.48,681.0,309.0,12,2475,21853.0,12573.0,12573.0,437458.3,14.103112840466926,280727.0,0
Magetan,688.84,76.3,14.08,8.67,98.62,99.97,82.92,20.61,11.72,9.32,12495,99.61,0.58,970.0,371.0,133,1011,21140.0,10321.0,10321.0,272246.1,18.865384615384617,251464.5,0
