Kabupaten/Kota,Cluster
Pacitan,Wilayah Berkembang dengan ketergantungan Bantuan
Ponorogo,Lumbung pangan dengan Tantangan
Trenggalek,Wilayah Berkembang dengan ketergantungan Bantuan
Tulungagung,Lumbung pangan dengan Tantangan
Blitar,Lumbung pangan dengan Tantangan
Kediri,Lumbung pangan dengan Tantangan
Malang,Lumbung pangan dengan Tantangan
Lumajang,Lumbung pangan dengan Tantangan
Jember,Lumbung pangan dengan Tantangan
Banyuwangi,Lumbung pangan dengan Tantangan
Bondowoso,Wilayah Berkembang dengan ketergantungan Bantuan
Situbondo,Wilayah Berkembang dengan ketergantungan Bantuan
Probolinggo,Wilayah Berkembang dengan ketergantungan Bantuan
Pasuruan,Lumbung pangan dengan Tantangan
Sidoarjo,Pusat Pertumbuhan Maju dan Sejahtera
Mojokerto,Lumbung pangan dengan Tantangan
Jombang,Lumbung pangan dengan Tantangan
Nganjuk,Lumbung pangan dengan Tantangan
Madiun,Lumbung pangan dengan Tantangan
Magetan,Lumbung pangan dengan Tantangan
Ngawi,Lumbung pangan dengan Tantangan
Bojonegoro,Lumbung pangan dengan Tantangan
Tuban,Lumbung pangan dengan Tantangan
Lamongan,Lumbung pangan dengan Tantangan
Gresik,Lumbung pangan dengan Tantangan
Bangkalan,Wilayah Berkembang dengan ketergantungan Bantuan
Sampang,Wilayah Berkembang dengan ketergantungan Bantuan
Pamekasan,Wilayah Berkembang dengan ketergantungan Bantuan
Sumenep,Wilayah Berkembang dengan ketergantungan Bantuan
Kota Kediri,Pusat Pertumbuhan Maju dan Sejahtera
Kota Blitar,Pusat Pertumbuhan Maju dan Sejahtera
Kota Malang,Pusat Pertumbuhan Maju dan Sejahtera
Kota Probolinggo,Pusat Pertumbuhan Maju dan Sejahtera
Kota Pasuruan,Pusat Pertumbuhan Maju dan Sejahtera
Kota Mojokerto,Pusat Pertumbuhan Maju dan Sejahtera
Kota Madiun,Pusat Pertumbuhan Maju dan Sejahtera
Kota Surabaya,Pusat Pertumbuhan Maju dan Sejahtera
Kota Batu,Pusat Pertumbuhan Maju dan Sejahtera
