tahun,kabupaten/kota,persentase_kemiskinan
2021,Bangkalan,21.57
2022,Bangkalan,19.44
2023,Bangkalan,19.35
2024,Bangkalan,18.66
2021,Banyuwangi,8.07
2022,Banyuwangi,7.51
2023,Banyuwangi,7.34
2024,Banyuwangi,6.54
2021,Blitar,9.65
2022,Blitar,8.71
2023,Blitar,8.69
2024,Blitar,8.16
2021,Bojonegoro,13.27
2022,Bojonegoro,12.21
2023,Bojonegoro,12.18
2024,Bojonegoro,11.69
2021,Bondowoso,14.73
2022,Bondowoso,13.47
2023,Bondowoso,13.34
2024,Bondowoso,12.6
2021,Gresik,12.42
2022,Gresik,11.06
2023,Gresik,10.96
2024,Gresik,10.32
2021,Jember,10.41
2022,Jember,9.39
2023,Jember,9.51
2024,Jember,9.01
2021,Jombang,10.0
2022,Jombang,9.04
2023,Jombang,9.15
2024,Jombang,8.6
2021,Kediri,11.64
2022,Kediri,10.65
2023,Kediri,10.72
2024,Kediri,9.95
2021,Kota Batu,4.09
2022,Kota Batu,3.79
2023,Kota Batu,3.31
2024,Kota Batu,3.06
2021,Kota Blitar,7.89
2022,Kota Blitar,7.37
2023,Kota Blitar,7.3
2024,Kota Blitar,6.75
2021,Kota Kediri,7.75
2022,Kota Kediri,7.23
2023,Kota Kediri,7.15
2024,Kota Kediri,6.51
2021,Kota Madiun,5.09
2022,Kota Madiun,4.76
2023,Kota Madiun,4.74
2024,Kota Madiun,4.38
2021,Kota Malang,4.62
2022,Kota Malang,4.37
2023,Kota Malang,4.26
2024,Kota Malang,3.91
2021,Kota Mojokerto,6.39
2022,Kota Mojokerto,5.98
2023,Kota Mojokerto,5.77
2024,Kota Mojokerto,5.57
2021,Kota Pasuruan,6.88
2022,Kota Pasuruan,6.37
2023,Kota Pasuruan,6.6
2024,Kota Pasuruan,6.32
2021,Kota Probolinggo,7.44
2022,Kota Probolinggo,6.65
2023,Kota Probolinggo,6.48
2024,Kota Probolinggo,6.18
2021,Kota Surabaya,5.23
2022,Kota Surabaya,4.72
2023,Kota Surabaya,4.65
2024,Kota Surabaya,3.96
2021,Lamongan,13.86
2022,Lamongan,12.53
2023,Lamongan,12.42
2024,Lamongan,12.16
2021,Lumajang,10.05
2022,Lumajang,9.06
2023,Lumajang,8.93
2024,Lumajang,8.65
2021,Madiun,11.91
2022,Madiun,10.79
2023,Madiun,11.04
2024,Madiun,10.63
2021,Magetan,10.66
2022,Magetan,9.84
2023,Magetan,9.8
2024,Magetan,9.32
2021,Malang,10.5
2022,Malang,9.55
2023,Malang,9.45
2024,Malang,8.98
2021,Mojokerto,10.62
2022,Mojokerto,9.71
2023,Mojokerto,9.8
2024,Mojokerto,9.37
2021,Nganjuk,11.85
2022,Nganjuk,10.7
2023,Nganjuk,10.89
2024,Nganjuk,10.17
2021,Ngawi,15.57
2022,Ngawi,14.15
2023,Ngawi,14.4
2024,Ngawi,13.81
2021,Pacitan,15.11
2022,Pacitan,13.8
2023,Pacitan,13.65
2024,Pacitan,13.08
2021,Pamekasan,15.3
2022,Pamekasan,13.93
2023,Pamekasan,13.85
2024,Pamekasan,13.41
2021,Pasuruan,9.7
2022,Pasuruan,8.96
2023,Pasuruan,9.24
2024,Pasuruan,8.63
2021,Ponorogo,10.26
2022,Ponorogo,9.32
2023,Ponorogo,9.53
